A_x,A_y,B_x,B_y,A_native_x,A_native_y,B_native_x,B_native_y,A_lon,A_lat,B_lon,B_lat,geo_distance_deg
720.0,570.0,740.0,10.0,7200,5700,7400,100,56.7188847,-61.6594434,56.7187915,-61.6595222,0.00012204785945932515
730.0,570.0,750.0,10.0,7300,5700,7500,100,56.7207579,-61.6593938,56.7207145,-61.6594965,0.00011149372180333078
740.0,570.0,760.0,10.0,7400,5700,7600,100,56.7226311,-61.6593442,56.7226377,-61.6594707,0.00012667205690316267
750.0,570.0,770.0,10.0,7500,5700,7700,100,56.7245044,-61.6592946,56.7245612,-61.6594448,0.0001605810698668843
760.0,570.0,780.0,10.0,7600,5700,7800,100,56.7263778,-61.6592449,56.7264848,-61.659419,0.00020435217150988194
770.0,570.0,790.0,10.0,7700,5700,7900,100,56.7282512,-61.6591952,56.7284087,-61.6593931,0.00025292421790218465
780.0,570.0,800.0,10.0,7800,5700,8000,100,56.7301247,-61.6591454,56.7303329,-61.6593672,0.0003042079551895008
790.0,570.0,810.0,10.0,7900,5700,8100,100,56.7319983,-61.6590957,56.7322573,-61.6593413,0.00035693187024928225
800.0,570.0,820.0,10.0,8000,5700,8200,100,56.733872,-61.6590459,56.7341819,-61.6593153,0.0004106268013699269
810.0,570.0,830.0,10.0,8100,5700,8300,100,56.7357457,-61.6589961,56.7361067,-61.6592893,0.00046506691991082144
820.0,570.0,840.0,10.0,8200,5700,8400,100,56.7376195,-61.6589462,56.7380318,-61.6592633,0.0005201381547227981
